isaaclab_timestep,grav_x,grav_y,grav_z
0,0.0,0.0,-1.00000012
1,-0.02504499,0.00401986,-0.99967819
2,-0.045273,0.00474516,-0.99896312
3,-0.06737907,-0.00041573,-0.99772716
4,-0.0789742,0.00888833,-0.99683696
5,-0.08884117,0.02065442,-0.99583173
6,-0.10004121,0.02479571,-0.99467415
7,-0.10236751,0.03062136,-0.99427527
8,-0.10482983,0.0321942,-0.99396908
9,-0.10384613,0.03541042,-0.99396265
10,-0.10253212,0.03754488,-0.99402094
11,-0.09869046,0.04023752,-0.99430442
12,-0.09658011,0.04181071,-0.99444652
13,-0.0933122,0.04297455,-0.99470896
14,-0.09212105,0.04328348,-0.99480677
15,-0.09044674,0.04304984,-0.9949702
16,-0.09041018,0.04233245,-0.99500436
17,-0.09015567,0.04129229,-0.99507129
18,-0.09094883,0.04010426,-0.99504769
19,-0.09154657,0.03886336,-0.99504197
20,-0.09255408,0.03764113,-0.99499559
21,-0.09317823,0.03651395,-0.99497956
22,-0.09383646,0.03552077,-0.99495375
23,-0.09409434,0.0346918,-0.9949584
24,-0.09419197,0.03401586,-0.99497283
25,-0.09389517,0.03348256,-0.99501896
26,-0.09338693,0.03307502,-0.99507999
27,-0.0925097,0.03280827,-0.99517089
28,-0.0913865,0.03262682,-0.99528062
29,-0.08996569,0.0324913,-0.99541479
30,-0.08832509,0.03239728,-0.99556482
31,-0.08646521,0.0323413,-0.9957298
32,-0.08446374,0.03230426,-0.99590272
33,-0.08235768,0.03227732,-0.99607992
34,-0.0801931,0.03225658,-0.99625719
35,-0.07797202,0.03225964,-0.99643338
36,-0.07574137,0.03227972,-0.9966048
37,-0.07354753,0.03229789,-0.99676865
38,-0.07144029,0.03231577,-0.9969213
39,-0.06943046,0.03231563,-0.99706334
40,-0.06754816,0.03229849,-0.9971931
41,-0.06580883,0.03227464,-0.99730998
42,-0.06426175,0.03225522,-0.99741149
43,-0.0628648,0.03225126,-0.99750084
44,-0.06172504,0.03226309,-0.99757159
45,-0.06073174,0.03228284,-0.99763155
46,-0.06000011,0.0323033,-0.99767554
47,-0.0594199,0.0323247,-0.99770916
48,-0.05909614,0.03234334,-0.99772799
49,-0.05894213,0.03236239,-0.99773681
50,-0.05896156,0.03239299,-0.99773449
51,-0.05917784,0.03242116,-0.9977206
52,-0.05957808,0.03243653,-0.99769652
53,-0.06012519,0.03244732,-0.99766296
54,-0.06083979,0.03245255,-0.99761987
55,-0.06162871,0.03245379,-0.99757099
56,-0.06253019,0.03245907,-0.9975149
57,-0.0635265,0.03246704,-0.99745166
58,-0.06463234,0.03247384,-0.99738073
59,-0.06581534,0.03248258,-0.99730313
60,-0.06706969,0.03249717,-0.99721867
61,-0.0683502,0.03250995,-0.99713165
62,-0.06968571,0.03251468,-0.99703866
63,-0.07097883,0.03251882,-0.99694723
64,-0.07229716,0.03251995,-0.99685264
65,-0.07349912,0.03251751,-0.99676508
66,-0.07466084,0.03252378,-0.99667799
67,-0.07568887,0.03254276,-0.99660003
68,-0.07666453,0.03256044,-0.99652493
69,-0.07752628,0.03258765,-0.99645722
70,-0.0782786,0.03262078,-0.99639761
71,-0.0789042,0.03266192,-0.99634683
72,-0.07940984,0.03271259,-0.99630505
73,-0.07978853,0.03277236,-0.9962728
74,-0.08008799,0.0328257,-0.99624693
75,-0.08021662,0.03288361,-0.99623454
76,-0.08023813,0.03294355,-0.99623108
77,-0.08013177,0.03299604,-0.99623764
78,-0.07994572,0.03304334,-0.99625105
79,-0.07962998,0.03308925,-0.99627483
80,-0.07924713,0.03313605,-0.99630421
81,-0.07874779,0.03318003,-0.99634218
82,-0.07819161,0.0332211,-0.99638456
83,-0.07753143,0.03326628,-0.99643445
84,-0.07687291,0.03330294,-0.99648416
85,-0.07612998,0.03332525,-0.99654055
86,-0.07537566,0.0333524,-0.99659705
87,-0.07462091,0.03336752,-0.99665356
88,-0.07383583,0.03338275,-0.99671161
89,-0.07305585,0.03340913,-0.99676818
90,-0.07227737,0.0334366,-0.99682409
91,-0.07153387,0.03345508,-0.99687696
92,-0.07082807,0.0334658,-0.9969269
93,-0.07019694,0.03349408,-0.99697042
94,-0.06965369,0.0335126,-0.99700797
95,-0.06917061,0.03351445,-0.99704158
96,-0.06877244,0.03348172,-0.99707031
97,-0.06836952,0.03345222,-0.99709892
98,-0.06805809,0.03345354,-0.99712002
99,-0.06783026,0.03345534,-0.99713552
100,-0.06770041,0.03343059,-0.9971453
101,-0.06762259,0.03341147,-0.99715126
102,-0.0676306,0.03340074,-0.99715102
103,-0.06768721,0.03338941,-0.99714768
104,-0.06783023,0.03338038,-0.99713838
105,-0.06799623,0.0333712,-0.99712729
106,-0.0682431,0.03338798,-0.99710971
107,-0.06858447,0.03337501,-0.99708676
108,-0.06893262,0.03336368,-0.99706304
109,-0.06931924,0.03336684,-0.9970364
110,-0.06972425,0.03336639,-0.99700814
111,-0.07018109,0.03337169,-0.9969756
112,-0.07060626,0.03337857,-0.99694556
113,-0.07104066,0.03337879,-0.99691463
114,-0.07145672,0.03337512,-0.9968853
115,-0.07188234,0.03339893,-0.99685359
116,-0.07231699,0.03339664,-0.99682254
117,-0.07270231,0.03338622,-0.99679434
118,-0.07308422,0.03339019,-0.99676621
119,-0.07338934,0.03339097,-0.99674416
120,-0.07371269,0.03339884,-0.99671984
121,-0.07394361,0.03341736,-0.99670202
122,-0.07416475,0.03344229,-0.99668515
123,-0.07429019,0.03347269,-0.99667466
124,-0.07443443,0.0334959,-0.99666297
125,-0.07449725,0.03351467,-0.99665773
126,-0.07452307,0.03353788,-0.99665499
127,-0.07452388,0.0335682,-0.99665385
128,-0.07447799,0.03359742,-0.99665642
129,-0.07439846,0.03362887,-0.99666101
130,-0.074276,0.03366452,-0.99666935
131,-0.0741616,0.03369989,-0.9966765
132,-0.07400636,0.03372812,-0.99668717
133,-0.07381958,0.03375563,-0.99669987
134,-0.07364901,0.03378611,-0.99671149
135,-0.07341453,0.03382416,-0.99672771
136,-0.07320625,0.03386188,-0.99674153
137,-0.07296851,0.03390247,-0.99675769
138,-0.07273349,0.03395648,-0.99677312
139,-0.07248159,0.03401374,-0.9967894
140,-0.07226397,0.0340653,-0.99680328
141,-0.07202409,0.03411081,-0.99681938
142,-0.07179039,0.03415225,-0.9968347
143,-0.07154931,0.03419005,-0.99685061
144,-0.07132025,0.03422418,-0.99686587
145,-0.07111015,0.0342519,-0.99688017
146,-0.07093003,0.03426912,-0.99689209
147,-0.07078297,0.03427929,-0.99690211
148,-0.07066782,0.03428067,-0.99691033
149,-0.07057958,0.0342761,-0.99691677
150,-0.07052331,0.03427035,-0.99692094
151,-0.07050183,0.034262,-0.99692297
152,-0.07051475,0.03425355,-0.99692225
153,-0.07055393,0.03424133,-0.99691975
154,-0.07061736,0.0342339,-0.99691552
155,-0.07069521,0.03422833,-0.99691021
156,-0.07079702,0.03422552,-0.99690336
157,-0.0709388,0.03422234,-0.99689341
158,-0.07107517,0.03422668,-0.99688327
159,-0.07122075,0.03425779,-0.99687177
160,-0.07141848,0.0342616,-0.99685752
161,-0.07156204,0.03426588,-0.99684733
162,-0.07170346,0.03428266,-0.9968363
163,-0.07180143,0.03432142,-0.99682808
164,-0.07197865,0.03432048,-0.99681526
165,-0.07207376,0.03431407,-0.99680895
166,-0.07219767,0.03431703,-0.99679959
167,-0.07224175,0.03431911,-0.99679655
168,-0.07230999,0.03431958,-0.9967916
169,-0.07234745,0.03431736,-0.9967885
170,-0.07239754,0.03433806,-0.99678451
171,-0.07246515,0.03436338,-0.99677849
172,-0.07248648,0.0343646,-0.99677694
173,-0.07245212,0.03437179,-0.99677938
174,-0.07241366,0.03438206,-0.99678171
175,-0.07238124,0.03438469,-0.99678421
176,-0.07232851,0.03438836,-0.99678785
177,-0.07227533,0.03439357,-0.99679154
178,-0.07220255,0.03441323,-0.99679601
179,-0.07217658,0.03442985,-0.99679708
180,-0.07209022,0.03444749,-0.99680281
181,-0.07205129,0.03445655,-0.99680567
182,-0.071958,0.03446899,-0.99681157
183,-0.07189486,0.03449648,-0.99681544
184,-0.07182309,0.03451385,-0.99682009
185,-0.07176363,0.03453417,-0.99682343
186,-0.07169829,0.03455884,-0.99682754
187,-0.07166571,0.03457532,-0.99682927
188,-0.07160588,0.03459393,-0.99683297
189,-0.07159199,0.03461319,-0.99683297
190,-0.07153457,0.03463417,-0.9968366
191,-0.07152753,0.0346581,-0.99683636
192,-0.07147285,0.03468974,-0.99683881
193,-0.07143699,0.03473193,-0.99684018
194,-0.07138076,0.03477554,-0.99684274
195,-0.07134859,0.03481255,-0.9968434
196,-0.07130898,0.03484637,-0.99684525
197,-0.07128654,0.03487455,-0.99684572
198,-0.07127884,0.03489701,-0.99684548
199,-0.07129743,0.0349036,-0.99684405
200,-0.07131056,0.03491089,-0.99684268
201,-0.07134131,0.03492154,-0.99684024
202,-0.07138025,0.03491674,-0.99683774
203,-0.07142521,0.03491185,-0.9968344
204,-0.071465,0.0349124,-0.99683189
205,-0.07152779,0.03490852,-0.99682724
206,-0.07156565,0.03491252,-0.99682438
207,-0.07162101,0.0349116,-0.99682039
208,-0.07163733,0.03491304,-0.99681956
209,-0.07167397,0.03493372,-0.99681616
210,-0.07168146,0.03495533,-0.99681473
211,-0.07171124,0.03497453,-0.99681211
212,-0.07176496,0.03497772,-0.99680781
213,-0.07179008,0.03498268,-0.99680573
214,-0.07183979,0.03498413,-0.99680239
215,-0.07184991,0.03499287,-0.99680114
216,-0.0718708,0.03501463,-0.99679887
217,-0.07186431,0.03503267,-0.99679881
218,-0.07188804,0.03504158,-0.99679685
219,-0.07187613,0.03505388,-0.9967975
220,-0.07188954,0.03506926,-0.99679595
221,-0.07186849,0.03507973,-0.99679697
222,-0.07191345,0.03507109,-0.9967941
223,-0.07191169,0.03505363,-0.996795
224,-0.07195226,0.03503542,-0.99679232
225,-0.071935,0.03502754,-0.9967941
226,-0.07195565,0.03502814,-0.99679267
227,-0.07192101,0.03503614,-0.99679446
228,-0.0718902,0.03504703,-0.99679649
229,-0.0718501,0.03505975,-0.99679899
230,-0.07179099,0.03508912,-0.99680209
231,-0.07172385,0.03513285,-0.99680519
232,-0.0716543,0.03517228,-0.99680889
233,-0.07162443,0.0351912,-0.99681056
234,-0.0715849,0.03520028,-0.996813
235,-0.07153317,0.03521968,-0.99681604
236,-0.07147183,0.03524351,-0.99681956
237,-0.07144417,0.03526071,-0.99682099
238,-0.07137767,0.03528504,-0.99682462
239,-0.07132822,0.03531643,-0.99682713
240,-0.07126635,0.03534788,-0.9968307
241,-0.07122287,0.03537131,-0.99683309
242,-0.07120659,0.03538161,-0.99683344
243,-0.07118611,0.03539241,-0.99683475
244,-0.07117262,0.03541151,-0.99683529
245,-0.07115272,0.03543426,-0.99683583
246,-0.07113657,0.03546128,-0.99683583
247,-0.07112373,0.03548532,-0.99683607
248,-0.07111317,0.03549936,-0.99683619
249,-0.07115701,0.03549769,-0.99683309
