isaaclab_timestep,grav_x,grav_y,grav_z
0,0.0,0.0,-0.99999994
1,-0.00315959,0.00492252,-0.99998248
2,-0.00695505,0.00682316,-0.99995255
3,-0.00733633,0.00185014,-0.99997121
4,-0.01053807,-0.00077772,-0.99994385
5,-0.02037297,-0.00445003,-0.99978244
6,-0.03177394,-0.00739211,-0.99946743
7,-0.0414441,-0.00985924,-0.99909192
8,-0.04919369,-0.01133967,-0.99872452
9,-0.05479817,-0.01217014,-0.9984231
10,-0.05789541,-0.014086,-0.99822313
11,-0.05899785,-0.01575045,-0.99813354
12,-0.06158651,-0.01500986,-0.9979887
13,-0.06433701,-0.01492502,-0.99781621
14,-0.06574712,-0.01514255,-0.99772125
15,-0.06623166,-0.01541757,-0.99768478
16,-0.0663114,-0.01557724,-0.99767703
17,-0.06518353,-0.0155132,-0.99775243
18,-0.060355,-0.01620833,-0.99804533
19,-0.05598946,-0.01453688,-0.99832523
20,-0.05071093,-0.01271509,-0.99863225
21,-0.04463343,-0.01254636,-0.99892461
22,-0.0403578,-0.01040817,-0.99913079
23,-0.03560229,-0.00773975,-0.99933612
24,-0.02987732,-0.00671622,-0.99953067
25,-0.0303365,-0.00374471,-0.9995327
26,-0.02999977,-0.00146955,-0.99954849
27,-0.02745951,-0.00161665,-0.99962127
28,-0.02710623,-0.0011881,-0.99963176
29,-0.02837133,-3.946e-05,-0.99959731
30,-0.0317528,0.00021332,-0.9994958
31,-0.03625006,0.00288013,-0.99933863
32,-0.03776051,0.00319672,-0.9992817
33,-0.04182718,0.0043108,-0.99911541
34,-0.04255738,0.00416367,-0.99908495
35,-0.04348245,0.00500744,-0.99904132
36,-0.04700747,0.00763616,-0.99886501
37,-0.04756621,0.00727344,-0.99884158
38,-0.0491218,0.00940507,-0.99874848
39,-0.04804634,0.00916749,-0.99880284
40,-0.04932144,0.0103232,-0.99872923
41,-0.04813184,0.00986806,-0.99879187
42,-0.04740867,0.01018077,-0.99882364
43,-0.04931523,0.01187878,-0.99871254
44,-0.04983475,0.0113629,-0.99869287
45,-0.05053048,0.01159419,-0.99865496
46,-0.05274142,0.01213876,-0.99853444
47,-0.05353335,0.01137035,-0.99850142
48,-0.05609817,0.0116887,-0.99835694
49,-0.05471207,0.01192463,-0.99843097
50,-0.05515331,0.01397906,-0.99837971
51,-0.05568716,0.01490394,-0.99833697
52,-0.05697082,0.01477688,-0.99826646
53,-0.05874506,0.01500444,-0.99816
54,-0.06117137,0.01581722,-0.99800146
55,-0.0642091,0.01680727,-0.99779457
56,-0.06895237,0.01783325,-0.99746048
57,-0.07261893,0.01765845,-0.99720347
58,-0.07610524,0.01741091,-0.99694753
59,-0.07902721,0.01773105,-0.99671447
60,-0.08145083,0.0175813,-0.99652213
61,-0.08425323,0.01763056,-0.99628824
62,-0.08662058,0.01758361,-0.99608618
63,-0.08876078,0.01811529,-0.99588799
64,-0.09072769,0.01835418,-0.99570644
65,-0.09221219,0.01831323,-0.99557078
66,-0.09391575,0.01814397,-0.99541467
67,-0.09561123,0.01833107,-0.99524981
68,-0.09702051,0.01845905,-0.99511105
69,-0.0984128,0.0185202,-0.99497312
70,-0.09914302,0.01859073,-0.99489957
71,-0.10035836,0.01885238,-0.99477237
72,-0.10116721,0.01890113,-0.99468964
73,-0.10142392,0.01906384,-0.99466038
74,-0.10184,0.01916699,-0.99461603
75,-0.10222744,0.01925951,-0.99457419
76,-0.10233147,0.01892109,-0.99456996
77,-0.10192069,0.01839123,-0.99462241
78,-0.10145514,0.01794298,-0.99467814
79,-0.10120519,0.01761183,-0.99470937
80,-0.10109822,0.01763087,-0.99472004
81,-0.10042661,0.01711423,-0.99479705
82,-0.09964177,0.01669966,-0.99488318
83,-0.09898918,0.01636152,-0.99495393
84,-0.09786278,0.01571449,-0.99507552
85,-0.09675761,0.01522375,-0.99519134
86,-0.09495518,0.01422163,-0.99537992
87,-0.09253332,0.01314921,-0.99562258
88,-0.08982279,0.01186372,-0.99588698
89,-0.08681301,0.01034272,-0.99617082
90,-0.08353037,0.0089973,-0.99646437
91,-0.08029835,0.00776764,-0.99674046
92,-0.07752994,0.00665035,-0.99696743
93,-0.07507959,0.00541981,-0.99716246
94,-0.07255545,0.0048467,-0.99735224
95,-0.07000451,0.00386884,-0.99753904
96,-0.06790444,0.00256533,-0.99768859
97,-0.06519495,0.00130751,-0.99787164
98,-0.06271185,0.00016375,-0.99803138
99,-0.05971274,-0.00151458,-0.99821413
