isaaclab_timestep,grav_x,grav_y,grav_z
0,6e-08,-2e-08,-0.99999994
1,3.177e-05,0.00191636,-0.99999821
2,0.01336715,0.01176721,-0.99984121
3,0.02215507,0.02813673,-0.99935865
4,0.02845245,0.03679845,-0.99891716
5,0.0296587,0.03052159,-0.99909383
6,0.03128976,0.01111553,-0.99944866
7,0.03091459,-0.0085336,-0.99948508
8,0.02808001,-0.02080412,-0.99938881
9,0.02466385,-0.03854086,-0.99895269
10,0.01894132,-0.05526365,-0.99829215
11,0.01319961,-0.07846902,-0.99682915
12,0.00918437,-0.10329045,-0.99460852
13,0.00619129,-0.13153093,-0.99129254
14,0.00381016,-0.16626513,-0.98607373
15,0.0013595,-0.20429423,-0.97890854
16,-0.00165724,-0.23121537,-0.97290081
17,-0.0097135,-0.25190279,-0.96770352
18,-0.0207062,-0.27661017,-0.96075898
19,-0.02634028,-0.29298487,-0.95575428
20,-0.03206503,-0.29690707,-0.95436788
21,-0.03324863,-0.30077952,-0.95311368
22,-0.03316329,-0.30681264,-0.9511916
23,-0.02964593,-0.30817774,-0.95086652
24,-0.02613415,-0.30021399,-0.95351374
25,-0.02603199,-0.28665632,-0.95767975
26,-0.02310564,-0.27525133,-0.96109444
27,-0.02022182,-0.25952753,-0.9655236
28,-0.02004818,-0.24548765,-0.96919209
29,-0.01638993,-0.23837106,-0.9710359
30,-0.00807388,-0.23827489,-0.97116375
31,0.00028763,-0.24829929,-0.96868312
32,0.00591369,-0.26053986,-0.96544486
33,0.01181904,-0.26698744,-0.96362734
34,0.01474068,-0.27581075,-0.96109891
35,0.01770349,-0.28109121,-0.95951772
36,0.01814882,-0.28142986,-0.95940983
37,0.019373,-0.27734146,-0.96057576
38,0.02495529,-0.27001926,-0.96253163
39,0.026888,-0.26562172,-0.96370214
40,0.02264903,-0.26834702,-0.96305603
41,0.01532155,-0.2786178,-0.9602797
42,0.0085584,-0.2924338,-0.95624715
43,0.00058534,-0.31236106,-0.94996297
44,-0.00389303,-0.33577242,-0.94193482
45,-0.0136374,-0.34714633,-0.93771154
46,-0.01937532,-0.35358909,-0.93519998
47,-0.01310789,-0.36018661,-0.93278807
48,-0.0050822,-0.35758385,-0.9338671
49,-0.00258282,-0.34945115,-0.93695092
