isaaclab_timestep,grav_x,grav_y,grav_z
0,-1e-08,1.3e-07,-1.00000036
1,4.778e-05,0.00280399,-0.99999595
2,0.00351413,0.01221063,-0.99991894
3,0.01007189,0.03535254,-0.9993242
4,0.0110844,0.04627918,-0.9988668
5,0.01263635,0.04178296,-0.99904644
6,0.01344293,0.02415838,-0.99961746
7,0.01376583,-0.00741456,-0.99987757
8,0.01477346,-0.04193901,-0.99901074
9,0.01469929,-0.06966931,-0.99746192
10,0.012012,-0.08760292,-0.99608308
11,0.00882199,-0.10875721,-0.99402928
12,0.00732979,-0.13197114,-0.99122626
13,0.00494196,-0.15532389,-0.98785108
14,0.00207458,-0.17107087,-0.98525643
15,-0.00206549,-0.18625106,-0.98250008
16,-0.01046182,-0.20438552,-0.97883469
17,-0.02505601,-0.22487199,-0.97406578
18,-0.0397304,-0.24897119,-0.96769553
19,-0.04479761,-0.26869747,-0.96218228
20,-0.04888627,-0.2813431,-0.95836079
21,-0.04885114,-0.28713179,-0.95664454
22,-0.04727914,-0.28656244,-0.95689416
23,-0.04249195,-0.28404316,-0.95786899
24,-0.03700812,-0.27889639,-0.95960754
25,-0.03448568,-0.26874205,-0.96259451
26,-0.02886071,-0.25127622,-0.96748507
27,-0.02400938,-0.23567484,-0.97153509
28,-0.01756009,-0.22756329,-0.9736048
29,-0.01122873,-0.22719941,-0.97378337
30,-0.0037333,-0.23506546,-0.97197211
31,0.00267117,-0.25277826,-0.96752059
32,0.01279087,-0.26922309,-0.96299255
33,0.02122047,-0.28204876,-0.95916498
34,0.02994097,-0.29249984,-0.95579654
35,0.03634834,-0.30237764,-0.95249456
36,0.03663179,-0.30802989,-0.95067084
37,0.03830168,-0.30781069,-0.95067602
38,0.04642004,-0.30050957,-0.95264846
39,0.05080953,-0.28434035,-0.95737571
40,0.04639915,-0.27348027,-0.96075761
41,0.04206146,-0.27049911,-0.96180093
42,0.03586779,-0.27477881,-0.96083796
43,0.02932128,-0.28786856,-0.95722061
44,0.02561805,-0.31134567,-0.94995111
45,0.02365556,-0.3338697,-0.94232225
46,0.01663159,-0.3494083,-0.93682277
47,0.01611061,-0.36015093,-0.93275487
48,0.01343869,-0.36345053,-0.93151647
49,0.00639962,-0.36116454,-0.93248016
50,0.0042569,-0.35123414,-0.93627751
51,0.00304783,-0.33210984,-0.94323558
52,0.00571084,-0.30365843,-0.95276368
53,0.01451635,-0.27524093,-0.96126568
54,0.02181939,-0.25569579,-0.96651065
55,0.02253132,-0.26257652,-0.96464783
56,0.02357345,-0.27431297,-0.96135122
57,0.02156404,-0.28571779,-0.95807087
58,0.0177993,-0.29835194,-0.95428956
59,0.01830297,-0.30650362,-0.95169342
60,0.01593104,-0.30861133,-0.95105475
61,0.01501646,-0.30538908,-0.95210898
62,0.01871291,-0.29734191,-0.95458776
63,0.01760378,-0.28145877,-0.9594115
64,0.01487926,-0.26717955,-0.96353173
65,0.00939609,-0.26046297,-0.96543801
66,0.0003553,-0.26100326,-0.96533781
67,-0.00774811,-0.27058989,-0.96266353
68,-0.0095324,-0.29193041,-0.95639211
69,-0.00677299,-0.3106479,-0.95050091
70,-0.00699145,-0.3237882,-0.94610357
71,-0.00488146,-0.32905841,-0.94429696
72,-0.00472543,-0.32714111,-0.94496334
73,-0.00952114,-0.3193087,-0.94760275
74,-0.01008353,-0.30350551,-0.95277596
75,-0.0101375,-0.28087595,-0.95969027
76,-0.00591423,-0.2486355,-0.96857893
77,-0.00144249,-0.2170641,-0.976156
78,0.00475042,-0.19484369,-0.9808228
79,0.01109796,-0.18262137,-0.98312068
80,0.0127738,-0.19609942,-0.98050082
81,0.01574881,-0.209795,-0.97761863
82,0.01596488,-0.21998015,-0.97537351
83,0.01623351,-0.22857349,-0.97339118
84,0.01976569,-0.24007526,-0.97055274
85,0.02230729,-0.25113136,-0.96769559
86,0.02638751,-0.2584208,-0.9656719
87,0.03511576,-0.26524451,-0.96354139
88,0.04070102,-0.26440006,-0.96355343
89,0.03981286,-0.25945884,-0.96493304
90,0.0327241,-0.25964046,-0.96515077
91,0.02158491,-0.26730493,-0.96336997
92,0.01073138,-0.28528157,-0.95838356
93,0.00082329,-0.30286196,-0.9530341
94,-0.00584967,-0.3130914,-0.94970506
95,-0.00246635,-0.31725803,-0.94833595
96,0.00068445,-0.31323743,-0.94967467
97,0.00737981,-0.30234486,-0.95316964
98,0.01232798,-0.28519377,-0.95839053
99,0.01327208,-0.25884619,-0.96582723
100,0.01503606,-0.22896266,-0.97331911
101,0.02089046,-0.20726505,-0.97806162
102,0.0309211,-0.19634175,-0.98004746
103,0.03845177,-0.20392445,-0.97823119
104,0.0390531,-0.22051248,-0.97460175
105,0.03675707,-0.23785065,-0.97060603
106,0.03097769,-0.25622514,-0.96612048
107,0.02506543,-0.27425951,-0.96132892
108,0.02270057,-0.28868434,-0.95715511
109,0.02469797,-0.29871532,-0.95402265
110,0.03160316,-0.3048487,-0.95187604
111,0.03450204,-0.30384168,-0.95209765
112,0.02859736,-0.29396069,-0.95538926
113,0.0217388,-0.27982533,-0.95980453
114,0.01364761,-0.27276632,-0.96198314
115,7.274e-05,-0.27218094,-0.96224582
116,-0.01043712,-0.28155601,-0.9594878
117,-0.01727998,-0.28652498,-0.95791668
118,-0.01963882,-0.28795165,-0.95744312
119,-0.0147735,-0.28532067,-0.958318
120,-0.01128475,-0.27425417,-0.96159101
121,-0.01274323,-0.26450261,-0.96430075
122,-0.01854154,-0.2541478,-0.96698737
123,-0.01975391,-0.23689534,-0.97133404
124,-0.02007011,-0.21108595,-0.97726154
125,-0.01770067,-0.18575576,-0.9824363
126,-0.01488968,-0.16774282,-0.98571825
127,-0.01316335,-0.15834135,-0.9872967
128,-0.01230063,-0.16000628,-0.98703939
129,-0.00977738,-0.17458411,-0.98459351
130,-0.00664077,-0.1855489,-0.98261213
131,-0.00533742,-0.19463387,-0.98086119
132,-0.00319602,-0.20346008,-0.97907776
133,-0.00205633,-0.20837271,-0.97804707
134,0.00026235,-0.21826625,-0.97588885
135,0.00567773,-0.22102618,-0.97525102
136,0.00732965,-0.223077,-0.97477311
137,0.00380187,-0.23105882,-0.97293228
138,-0.00508377,-0.24441162,-0.96965796
139,-0.01454129,-0.26429269,-0.96433276
140,-0.02078728,-0.29349428,-0.95573473
141,-0.02718851,-0.31839561,-0.9475677
142,-0.02712285,-0.34187138,-0.93935525
143,-0.02813139,-0.35657433,-0.93384326
144,-0.02545349,-0.36202779,-0.93181956
145,-0.02152864,-0.36030978,-0.93258411
146,-0.02234158,-0.35321489,-0.93527544
147,-0.01848584,-0.33724487,-0.94123513
148,-0.01335938,-0.31173491,-0.95007473
149,-0.00649993,-0.2877503,-0.95768309
150,0.00036747,-0.27204415,-0.96228427
151,0.00422787,-0.26677239,-0.96375024
152,0.00895474,-0.27393842,-0.96170527
153,0.01141898,-0.28249815,-0.95919949
154,0.01357362,-0.28940669,-0.95710981
155,0.01973957,-0.29758698,-0.95449072
156,0.02329308,-0.30870816,-0.95087129
157,0.02863865,-0.31668082,-0.94809955
158,0.03366922,-0.31734344,-0.94771236
159,0.03849749,-0.31131673,-0.94952571
160,0.03841321,-0.29866421,-0.95358473
161,0.03025222,-0.28749231,-0.95730501
162,0.02219681,-0.28411865,-0.95853198
163,0.01250892,-0.2876825,-0.95764375
164,0.00971056,-0.30520046,-0.95223856
165,0.00728941,-0.30771655,-0.95144975
166,0.00636929,-0.30283916,-0.95302016
167,0.01069484,-0.29670602,-0.95490885
168,0.01364832,-0.2837953,-0.9587878
169,0.01543271,-0.26550871,-0.96398509
170,0.01682526,-0.24139208,-0.97028178
171,0.02187541,-0.20890556,-0.97769105
172,0.02846202,-0.17727777,-0.98374921
173,0.03448601,-0.16017449,-0.98648614
174,0.03408837,-0.1687441,-0.98506981
175,0.03409792,-0.17603002,-0.98379368
176,0.03214926,-0.18288524,-0.9826082
177,0.02997475,-0.19384728,-0.98057365
178,0.03058506,-0.20715286,-0.97783023
179,0.02942507,-0.2198562,-0.97508836
180,0.0285617,-0.22792347,-0.9732601
181,0.03100655,-0.23138048,-0.97236896
182,0.03104166,-0.23715459,-0.97097582
183,0.0255354,-0.2497364,-0.96797681
184,0.01375285,-0.26846582,-0.96319091
185,0.00176869,-0.29481119,-0.95555371
186,-0.00693571,-0.32055098,-0.94720554
187,-0.01119369,-0.33952159,-0.94053125
188,-0.01574769,-0.3497639,-0.93670535
189,-0.01546775,-0.353699,-0.93523139
190,-0.01425113,-0.35181043,-0.93596274
191,-0.01669073,-0.34287137,-0.93923402
192,-0.0138566,-0.32643637,-0.94511724
193,-0.01072983,-0.3036899,-0.95271015
194,-0.00996011,-0.27284995,-0.96200508
195,-0.0048928,-0.24170408,-0.97033769
196,0.0002358,-0.2185249,-0.97583139
197,0.00728939,-0.2051246,-0.97870868
198,0.01375758,-0.2077176,-0.9780919
199,0.02123597,-0.21574603,-0.97621864
200,0.02573115,-0.22041152,-0.97506714
201,0.02462013,-0.22249867,-0.97462207
202,0.02418522,-0.22411719,-0.97426188
203,0.02823781,-0.22711262,-0.97345859
204,0.03736929,-0.23703679,-0.97078162
205,0.04554494,-0.25060156,-0.96701837
206,0.04667262,-0.24808913,-0.96761233
207,0.04088021,-0.24326819,-0.96909696
208,0.03025087,-0.24570119,-0.9688735
209,0.01982611,-0.25711742,-0.96617651
210,0.01347438,-0.27739123,-0.96066213
211,0.01072501,-0.29870442,-0.95428526
212,0.01161692,-0.30948579,-0.95083296
213,0.01377791,-0.31610075,-0.94862556
214,0.0104657,-0.31580636,-0.94876599
215,0.01070247,-0.30899939,-0.9510017
216,0.01223972,-0.29725671,-0.95471889
217,0.01783085,-0.27680567,-0.96076035
218,0.02501632,-0.2562604,-0.9662838
219,0.03371184,-0.24448149,-0.96906769
220,0.04220351,-0.24379276,-0.96890831
221,0.04576283,-0.2610434,-0.96424162
222,0.04404575,-0.28464499,-0.9576205
223,0.04336382,-0.30919898,-0.9500078
224,0.03898591,-0.33175659,-0.94255924
225,0.03454366,-0.34974226,-0.93620884
226,0.0356435,-0.36258504,-0.93126869
227,0.04160161,-0.37060741,-0.9278571
228,0.04364634,-0.37386423,-0.92645562
229,0.04486246,-0.36999175,-0.92795086
230,0.04234596,-0.35828707,-0.93265027
231,0.03381009,-0.33912617,-0.94013292
232,0.02435332,-0.32178313,-0.9465003
233,0.01361282,-0.3112205,-0.9502399
234,0.00380721,-0.31565905,-0.94886476
235,0.0015403,-0.32243973,-0.9465884
236,-0.00095274,-0.32225546,-0.94665217
237,-0.00643449,-0.32132691,-0.94694632
238,-0.00831336,-0.31285545,-0.94976431
239,-0.00199832,-0.30377904,-0.95274031
240,0.0031299,-0.29245752,-0.95627332
241,0.00258902,-0.27527073,-0.96136338
242,-0.00100344,-0.25120628,-0.96793306
243,0.00020641,-0.21762611,-0.9760319
244,0.00432942,-0.18518385,-0.98269439
245,0.01232709,-0.16204107,-0.98670655
246,0.02092107,-0.14864051,-0.98866981
247,0.02302874,-0.16800252,-0.9855175
248,0.02392605,-0.18487366,-0.98247075
249,0.02605513,-0.20428437,-0.97856456
250,0.02558656,-0.22397295,-0.97425944
251,0.02628242,-0.23829477,-0.97083688
252,0.03114567,-0.24605569,-0.96875507
253,0.03306511,-0.24806854,-0.96817756
254,0.03464819,-0.24529147,-0.96882987
255,0.03352266,-0.24489865,-0.96896899
256,0.02612044,-0.24573469,-0.96898508
257,0.01326162,-0.25080848,-0.96794581
258,-0.0010308,-0.26287821,-0.96482825
259,-0.01493001,-0.28453362,-0.95854944
260,-0.0194295,-0.30985627,-0.95058453
261,-0.0239897,-0.32159421,-0.94657338
262,-0.02590529,-0.32830769,-0.94421542
263,-0.02716384,-0.32941824,-0.94379312
264,-0.03044227,-0.32603109,-0.94486868
265,-0.03065203,-0.3219513,-0.94625998
266,-0.02731713,-0.31663927,-0.94815224
267,-0.0255812,-0.30444992,-0.95218468
268,-0.02094825,-0.28321335,-0.95882773
269,-0.01687596,-0.26353094,-0.96450305
270,-0.01553896,-0.25207543,-0.96758264
271,-0.00989676,-0.24760354,-0.96881068
272,-0.00373805,-0.25696936,-0.96641189
273,0.00533971,-0.26769543,-0.96348858
274,0.01207929,-0.27559716,-0.96119726
275,0.01279867,-0.28108689,-0.95959675
276,0.01457591,-0.28525504,-0.95834064
277,0.02061898,-0.28701571,-0.95770383
278,0.03118549,-0.28478652,-0.95808357
279,0.03877286,-0.27197713,-0.96152186
280,0.03785165,-0.26101512,-0.9645924
281,0.03080335,-0.25733158,-0.96583188
282,0.02431954,-0.26128235,-0.96495587
283,0.01592322,-0.27318454,-0.96182948
284,0.00761528,-0.29351866,-0.95592314
285,0.00782818,-0.3103618,-0.9505862
286,0.00633133,-0.31527686,-0.94897836
287,0.00899587,-0.31526074,-0.94896233
288,0.01037554,-0.30818805,-0.95126891
289,0.00638465,-0.29622874,-0.95509535
290,-0.00015498,-0.27917531,-0.96023983
291,-0.0015391,-0.25286037,-0.96750134
292,0.00275906,-0.22618943,-0.97407901
293,0.00802239,-0.20900427,-0.97788149
294,0.01405315,-0.2026297,-0.97915435
295,0.01851877,-0.21583386,-0.97625434
296,0.01913569,-0.23099458,-0.97276646
297,0.01843348,-0.24679543,-0.96889222
298,0.01464722,-0.26324853,-0.96461695
299,0.01409323,-0.28040054,-0.95977968
300,0.0194243,-0.2931667,-0.95586383
301,0.03071509,-0.29955527,-0.95358413
302,0.03753076,-0.2980946,-0.95379794
303,0.0348225,-0.2871367,-0.95725632
304,0.02966446,-0.27710938,-0.9603802
305,0.02265868,-0.27404174,-0.96145082
306,0.01310104,-0.27766928,-0.9605872
307,0.00125955,-0.28694639,-0.95794547
308,-0.00205653,-0.29552567,-0.95533228
309,-0.00616672,-0.29271165,-0.95618051
310,-0.00589071,-0.28207666,-0.95937371
311,0.00150277,-0.27439347,-0.96161598
312,0.00434344,-0.26701385,-0.96368283
313,0.00152577,-0.25475445,-0.96700454
314,0.00215926,-0.23221017,-0.97266299
315,0.00399809,-0.20962065,-0.9777745
316,0.00524494,-0.19509946,-0.9807691
317,0.00979335,-0.18990982,-0.98175251
318,0.0131546,-0.20678687,-0.97829753
319,0.01394938,-0.22434227,-0.97441071
320,0.01393735,-0.24474134,-0.96948826
321,0.01807787,-0.26404384,-0.96434098
322,0.01984938,-0.27725634,-0.96059078
323,0.02155042,-0.28518492,-0.95822996
324,0.02815976,-0.28917396,-0.95686209
325,0.03176469,-0.28523034,-0.95793229
326,0.0273851,-0.26419762,-0.9640798
327,0.01841672,-0.24369647,-0.96967685
328,0.01011216,-0.2306322,-0.97298819
329,0.0031605,-0.22638273,-0.97403312
330,0.00245639,-0.2371105,-0.9714793
331,0.00041088,-0.23670354,-0.97158158
332,-0.00513563,-0.22991052,-0.97319806
333,-0.00657901,-0.22664456,-0.97395509
334,-0.00235964,-0.22008757,-0.97547692
335,0.000861,-0.21488878,-0.97663814
336,3.264e-05,-0.20993438,-0.97771525
337,-0.00299825,-0.20044239,-0.97970062
338,-0.00192763,-0.19177599,-0.98143679
339,-0.00035595,-0.19041492,-0.9817034
340,0.00215485,-0.19711848,-0.98037714
341,0.00749518,-0.21410327,-0.9767822
342,0.00981018,-0.25278342,-0.96747291
343,0.01095293,-0.27798283,-0.96052361
344,0.00987671,-0.30189484,-0.95329005
345,0.01355902,-0.31873745,-0.94774616
346,0.01378515,-0.32782835,-0.94463629
347,0.01427576,-0.3303344,-0.94375575
348,0.01960354,-0.32824627,-0.94438869
349,0.02210731,-0.32107711,-0.94679469
350,0.02337075,-0.30682749,-0.95147794
351,0.02052917,-0.29473755,-0.95535755
352,0.01299279,-0.29030758,-0.9568451
353,0.00286108,-0.29263365,-0.95622045
354,-0.00723679,-0.30300006,-0.95296293
355,-0.00554127,-0.32356426,-0.9461897
356,-0.00365104,-0.33239955,-0.94313145
357,-0.00545708,-0.33595538,-0.94186211
358,-0.00346351,-0.33149552,-0.94345027
359,-0.00326087,-0.32598138,-0.94537061
360,-0.00018644,-0.31870717,-0.94785285
361,0.00198904,-0.30611861,-0.9519912
362,0.00036032,-0.2886664,-0.95742947
363,0.00313518,-0.26180422,-0.96511573
364,0.00804321,-0.23505969,-0.97194743
365,0.01597977,-0.21692471,-0.97605747
366,0.02120714,-0.22481383,-0.97417057
367,0.02442517,-0.24554139,-0.96907812
368,0.03066773,-0.26382992,-0.96408165
369,0.03394549,-0.27964115,-0.95950407
370,0.03120266,-0.28957233,-0.95664722
371,0.02947821,-0.29239553,-0.95584279
372,0.03337812,-0.28753257,-0.95718873
373,0.03275617,-0.28092879,-0.95916933
374,0.03178723,-0.26704648,-0.96315938
375,0.02853315,-0.25488523,-0.96654987
376,0.02466683,-0.25028735,-0.96785718
377,0.01919924,-0.25323865,-0.96721321
378,0.00902318,-0.26397172,-0.96448791
379,0.0053281,-0.28552204,-0.95835721
380,0.00088599,-0.30066609,-0.95372891
381,0.00101075,-0.31042922,-0.95059574
382,-6.889e-05,-0.31844771,-0.94794035
383,0.00068082,-0.32352829,-0.94621819
384,-4.766e-05,-0.32216161,-0.94668448
385,-0.00594251,-0.3149389,-0.94909328
386,-0.0142527,-0.29944405,-0.95400703
387,-0.01615538,-0.27386144,-0.96163315
388,-0.0100254,-0.24791242,-0.96873015
389,0.00037436,-0.22941762,-0.97332805
390,0.01060598,-0.22052693,-0.9753229
391,0.01846478,-0.22447461,-0.97430485
