isaaclab_timestep,grav_x,grav_y,grav_z
143,-0.0076355,-0.38566825,-0.92260575
144,-0.0088496,-0.36829868,-0.92966509
145,-0.0065195,-0.34295368,-0.93932974
146,-0.00376642,-0.30873421,-0.95114046
147,0.00015065,-0.27792937,-0.96060139
148,0.00477326,-0.2586711,-0.96595329
149,0.01221625,-0.26226076,-0.96491957
150,0.014942,-0.29037896,-0.9567948
151,0.01578167,-0.31880468,-0.94768876
152,0.01381603,-0.34093434,-0.93998522
153,0.01322211,-0.35414094,-0.93509841
154,0.01715423,-0.36090487,-0.93244457
155,0.01880433,-0.36538723,-0.93066525
156,0.02128502,-0.36141944,-0.93216026
157,0.01906213,-0.34991452,-0.93658769
158,0.01397011,-0.32942405,-0.94407845
159,0.00644129,-0.30847347,-0.95121115
160,-0.0055388,-0.2957778,-0.95524055
161,-0.01585661,-0.29300439,-0.95597929
162,-0.01347255,-0.3151302,-0.94895267
163,-0.00782325,-0.34035781,-0.94026315
164,-0.00872741,-0.35998997,-0.93291521
165,-0.00667786,-0.3708685,-0.92866105
166,-0.00316717,-0.38016927,-0.9249112
167,-0.00503266,-0.38156942,-0.92432624
168,-0.00121654,-0.37354052,-0.92761302
169,0.0034483,-0.35600552,-0.93447751
170,0.00603069,-0.32889462,-0.94434726
171,0.01294076,-0.29319698,-0.95596439
172,0.02567281,-0.26028681,-0.96519011
173,0.03706835,-0.23787051,-0.97058904
174,0.0454167,-0.23746575,-0.97033358
175,0.04692859,-0.25754744,-0.96512544
176,0.04237497,-0.2768923,-0.95996618
177,0.03631726,-0.29940575,-0.95343405
178,0.03485014,-0.31984434,-0.94682902
179,0.03898614,-0.3360461,-0.94103813
180,0.04915127,-0.34793219,-0.93623012
181,0.05593205,-0.35488689,-0.93323457
182,0.0601285,-0.35492694,-0.93295848
183,0.05744813,-0.34713826,-0.93605262
184,0.04489762,-0.34070051,-0.93909883
185,0.02899569,-0.33963674,-0.94010967
186,0.01607959,-0.34382695,-0.93889511
187,0.00451901,-0.3538866,-0.93527746
188,-0.00028031,-0.35632503,-0.93436164
189,-0.00570341,-0.35645106,-0.93429655
190,-0.00554249,-0.35561314,-0.93461668
191,-0.00526301,-0.34824011,-0.93739045
192,-0.00334915,-0.34071395,-0.94016063
193,-0.00224215,-0.33189002,-0.94331503
194,-0.00641114,-0.31786409,-0.94811445
195,-0.00830917,-0.29819396,-0.95446891
196,-0.0093353,-0.27196971,-0.96226037
197,-0.00776645,-0.24759901,-0.96883118
198,-0.00479873,-0.23289874,-0.97248912
199,0.00034462,-0.24593019,-0.9692871
200,0.00151798,-0.27663362,-0.96097398
201,0.00231887,-0.30091551,-0.95364773
202,0.00730441,-0.31850588,-0.94789249
203,0.00960598,-0.33101413,-0.94357669
204,0.01139594,-0.33637038,-0.94166046
205,0.01030135,-0.33403096,-0.9425053
206,0.00953735,-0.32499912,-0.94566584
207,0.01263549,-0.30985656,-0.95069933
208,0.010036,-0.2841402,-0.95872986
209,0.00058704,-0.25728497,-0.9663353
210,-0.00782906,-0.2377146,-0.97130352
211,-0.01572511,-0.22669905,-0.97383785
212,-0.02286793,-0.22811474,-0.9733656
213,-0.02056267,-0.25230938,-0.96742809
214,-0.01813976,-0.27394515,-0.9615742
215,-0.01390567,-0.28586686,-0.95816845
216,-0.00764678,-0.29856798,-0.95435762
217,-0.00801345,-0.30638769,-0.95187283
218,-0.00602414,-0.30671453,-0.95178211
219,-0.00341932,-0.30038062,-0.95381302
220,-0.00430101,-0.28908253,-0.95729446
221,-0.00079437,-0.26868653,-0.96322733
222,0.00442542,-0.2486904,-0.96857274
223,0.010994,-0.2366347,-0.97153646
224,0.01847102,-0.2341146,-0.97203314
225,0.0207289,-0.25799531,-0.96592361
226,0.0222968,-0.28112739,-0.95941132
227,0.02670388,-0.30111182,-0.95321459
228,0.02762518,-0.31957644,-0.94715738
229,0.0303584,-0.33873311,-0.94039226
230,0.0312529,-0.35293582,-0.93512523
231,0.03508217,-0.36210769,-0.93147576
232,0.04444286,-0.36608127,-0.92952091
233,0.04925729,-0.36139336,-0.93111122
234,0.04802559,-0.35137478,-0.93500209
235,0.0443332,-0.33511493,-0.94113338
236,0.03713855,-0.32045335,-0.94653559
237,0.03149474,-0.31270334,-0.94932848
238,0.03602365,-0.32788986,-0.94402868
239,0.04936897,-0.36337689,-0.93033296
240,0.05280615,-0.38322687,-0.9221431
241,0.05954759,-0.39437601,-0.91701764
242,0.06378873,-0.39913243,-0.9146716
243,0.05532491,-0.3996287,-0.91500592
244,0.03507937,-0.39376467,-0.91854179
245,0.01256442,-0.37887213,-0.92536342
246,0.00206336,-0.35442403,-0.93508244
247,-0.00479087,-0.32034817,-0.94728762
248,-0.01535129,-0.27862042,-0.96027845
249,-0.01718861,-0.24066503,-0.97045577
250,-0.01571355,-0.29107004,-0.95657235
251,-0.0176841,-0.352483,-0.93565106
252,-0.0267069,-0.37793404,-0.92544717
253,-0.04235842,-0.39593294,-0.91730189
254,-0.06487869,-0.40294167,-0.9129228
255,-0.0802328,-0.39724934,-0.91419661
256,-0.08226071,-0.38506553,-0.9192155
257,-0.075399,-0.36758009,-0.92693019
258,-0.06886081,-0.34339148,-0.9366641
259,-0.06383392,-0.33035994,-0.9416939
260,-0.07203544,-0.38553289,-0.91987759
261,-0.07569154,-0.42500556,-0.90202034
262,-0.0739644,-0.44949216,-0.89021671
263,-0.07157438,-0.46265939,-0.88364184
264,-0.05853227,-0.46675396,-0.88244802
265,-0.03140399,-0.45740142,-0.88870567
266,-0.00867835,-0.43538412,-0.90020263
267,0.00742931,-0.40488467,-0.91433722
268,0.02094328,-0.37240112,-0.92783546
269,0.03218888,-0.3391909,-0.94016629
